FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
A,POINT (-74.11054252145131 40.617712353874644),Out in Open,Clove Lakes Park,5,Active,40.61771235,-74.11054252
CS Metal,POINT (-74.01839056613562 40.70506569322364),In Shade,Battery Park City,1,Active,40.70506569,-74.01839057
E Wheelchair,POINT (-73.96180450138817 40.78875922730629),"Under Tree, Out in Open",Central Park,1,Active,40.78875923,-73.9618045
C,POINT (-73.82570717189672 40.84712420206664),Near Ballfield,Pelham Bay Park,2,Active,40.8471242,-73.82570717
C,POINT (-73.86201958063027 40.748605370294314),Near Ballfield,Park Of The Americas,4,Active,40.74860537,-73.86201958
E Wheelchair,POINT (-73.9714781133276 40.574001248842855),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57400125,-73.97147811
D,POINT (-73.85330490359611 40.68580648020978),In Playground,London Planetree Playground,4,Active,40.68580648,-73.85330490000003
C,POINT (-73.97449563283378 40.71897745246964),Near Ballfield,John V. Lindsay East River Park,1,Active,40.71897745,-73.97449563
B,POINT (-73.93566494864172 40.792466939279294),"Near Ballfield, Under Tree",Thomas Jefferson Park,1,Active,40.79246694,-73.93566495
Pedestal,POINT (-73.91484509600676 40.794847254317666),"Out in Open, Near Ballfield",Randall's Island Park,1,Active,40.79484725,-73.9148451
C,POINT (-73.82445540922943 40.846618680174934),Near Ballfield,Pelham Bay Park,2,Active,40.84661868,-73.82445541
D,POINT (-73.95750980216903 40.60380865286166),In Playground,Kelly Park,3,Active,40.60380865,-73.9575098
E Wheelchair,POINT (-73.96242699019052 40.75499171211726),Under Tree,Sutton Parks,1,Active,40.75499171,-73.96242699
A,POINT (-73.81090303186626 40.7459031701811),Near Ballfield,Kissena Park,4,Active,40.74590317,-73.81090303
A,POINT (-73.89293578789773 40.6290065308492),"Out in Open, Near Ballfield",Canarsie Park,3,Active,40.62900653,-73.89293579
A,POINT (-73.91373062337226 40.66214588516702),"Under Tree, In Shade",Betsy Head Park,3,Active,40.66214589,-73.91373062
A,POINT (-73.94282703420701 40.678260548284065),"Near Ballfield, In Playground",St. Andrew's Playground,3,Active,40.67826055,-73.94282703
A,POINT (-73.8527634409574 40.73598175391941),In Playground,Playground Sixty Two LXII,4,Active,40.73598175,-73.85276344
C,POINT (-74.16276532524505 40.61976673327574),Out in Open,Jennifer's Playground,5,Active,40.61976673,-74.16276533
C,POINT (-73.94921759388254 40.74756422946874),"Near Ballfield, Out in Open",Murray Playground,4,Active,40.74756423,-73.94921759
Pedestal,POINT (-74.19724704998616 40.5613017398295),Near Ballfield,Freshkills Park,5,Active,40.56130174,-74.19724705
Trough,POINT (-73.9303285585562 40.827188668778426),Out in Open,Macombs Dam Park,2,Active,40.82718867,-73.93032856
C,POINT (-73.91365078039611 40.83618063687335),Out in Open,Grant Park,2,Active,40.83618064,-73.91365078
E Wheelchair Child,POINT (-73.8426050906633 40.84061235789907),Out in Open,Owen F. Dolen Park,2,Active,40.84061236,-73.84260509
D,POINT (-73.86404138631929 40.890777343654484),In Playground,Bronx River Parkway,2,Active,40.89077734,-73.86404139
E Wheelchair,POINT (-73.94683636751311 40.63753102802805),"Out in Open, Near Ballfield",Nostrand Playground,3,Active,40.63753103,-73.94683637
C,POINT (-73.8889576283587 40.81526264548716),In Playground,Julio Carballo Fields,2,Active,40.81526265,-73.88895763
E Wheelchair,POINT (-74.01596779848006 40.70260399561268),Under Tree,The Battery,1,Active,40.702604,-74.0159678
A,POINT (-73.94760287109482 40.70614733472294),Near Ballfield,Sternberg Park,3,Active,40.70614733,-73.94760287
C,POINT (-73.99675316511679 40.57836301107772),"Out in Open, In Playground",Kaiser Park,3,Active,40.57836301,-73.99675317
E Wheelchair,POINT (-73.97572557550173 40.57349615260316),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57349615,-73.97572558
A,POINT (-73.85017982454814 40.66501359088188),Out in Open,Harold Schneiderman Playground,4,Active,40.66501359,-73.85017982
C,POINT (-74.03844842816625 40.63407325595739),Near Ballfield,Shore Park and Parkway,3,Active,40.63407326,-74.03844843
B,POINT (-73.93268037495604 40.80562802505406),Near Ballfield,Harlem River Park,1,Active,40.80562803,-73.93268037
C,POINT (-73.87780644602857 40.842724546371436),"Out in Open, In Playground",Bronx Park,2,Active,40.84272455,-73.87780645
C,POINT (-74.01303252862796 40.6323429778734),Near Ballfield,Quaker Parrot Park at the Dust Bowl,3,Active,40.63234298,-74.01303253
A,POINT (-73.91236649736705 40.611619890288836),"Near Ballfield, Out in Open",Lindower Park,3,Active,40.61161989,-73.9123665
A,POINT (-73.76521862550268 40.77251172318),Out in Open,Cross Island Parkway,4,Active,40.77251172,-73.76521863
D,POINT (-73.84542565370121 40.838936747049694),,The Pearly Gates,2,Active,40.83893675,-73.84542565
C,POINT (-73.89024000457235 40.667366746129055),In Playground,Martin Luther King Jr. Playground,3,Active,40.66736675,-73.89024
C,POINT (-73.92417335939491 40.83331969199249),"Out in Open, Near Ballfield",Mullaly Park,2,Active,40.83331969,-73.92417336
D,POINT (-73.92549746169449 40.66709164536252),Out in Open,Lincoln Terrace / Arthur S. Somers Park,3,Active,40.66709165,-73.92549746
A,POINT (-73.84527476821374 40.74743577382117),Under Tree,Flushing Meadows Corona Park,4,Active,40.74743577,-73.84527477
C,POINT (-73.9271327698568 40.61817913321108),"Under Tree, Out in Open, In Playground",Power Playground,3,Active,40.61817913,-73.92713277
C,POINT (-74.03015708041453 40.64052403518205),Just Outside Playground,Owl's Head Park,3,Active,40.64052404,-74.03015708
A,POINT (-73.978424764258 40.74196947859772),In Playground,Vincent F. Albano Jr. Playground,1,Active,40.74196948,-73.97842476
C,POINT (-73.9444885031784 40.774097113819096),In Playground,Carl Schurz Park,1,Active,40.77409711,-73.9444885
C,POINT (-73.9418616029679 40.8025113230147),Near Ballfield,Eugene McCabe Field,1,Active,40.80251132,-73.9418616
A,POINT (-73.87122286524018 40.859045340318566),Out in Open,Bronx Park,2,Active,40.85904534,-73.87122287
