FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
A,POINT (-73.80879690388855 40.5854367354841),In Playground,Rockaway Beach Boardwalk,4,Active,40.58543674,-73.8087969
C,POINT (-73.83963367458463 40.873825010014166),"Under Tree, In Shade",Haffen Park,2,Active,40.87382501,-73.83963367
E Wheelchair,POINT (-73.96980177053804 40.58733059695681),"Out in Open, Near Ballfield",West Playground,3,Active,40.5873306,-73.96980177
C,POINT (-73.9765182862199 40.65042648498276),In Playground,Greenwood Playground,3,Active,40.65042648,-73.97651829
E Wheelchair,POINT (-73.98121393939279 40.572907057576856),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57290706,-73.98121394
A,POINT (-73.83635227073438 40.747218069787124),Under Tree,Flushing Meadows Corona Park,4,Active,40.74721807,-73.83635227
E Wheelchair,POINT (-74.06308063646131 40.615706753032214),Out in Open,Alice Austen Park,5,Active,40.61570675,-74.06308064
A,POINT (-74.01299984380599 40.6127267668064),In Playground,Dyker Beach Park,3,Active,40.61272677,-74.01299984
A,POINT (-74.11853163203996 40.63895862497266),Near Ballfield,CPL. Thompson Park,5,Active,40.63895862,-74.11853163
Trough,POINT (-73.84470512856765 40.78147982416752),In Playground,Poppenhusen Playground,4,Active,40.78147982,-73.84470513
C,POINT (-73.9118017746641 40.83778159593797),"Under Tree, In Shade",Grant Park,2,Active,40.8377816,-73.91180177
B,POINT (-73.97765508822089 40.76843172865205),"Out in Open, In Playground",Central Park,1,Active,40.76843173,-73.97765509
Trough,POINT (-73.80928066322126 40.58489425775135),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58489426,-73.80928066
A,POINT (-73.89095839424118 40.70639335790301),In Playground,Mafera Park,4,Active,40.70639336,-73.89095839
CS Concrete,POINT (-73.89616853883709 40.83513635111762),Just Outside Playground,Crotona Park,2,Active,40.83513635,-73.89616854
C,POINT (-74.0012224848003 40.63705175592267),"Out in Open, In Playground",Rappaport Playground,3,Active,40.63705176,-74.00122248
F,POINT (-74.0017241553743 40.71602106519706),Out in Open,Collect Pond Park,1,Active,40.71602107,-74.00172416
C,POINT (-73.85332860153814 40.70162174007321),"Near Ballfield, Just Outside Playground",Forest Park,4,Active,40.70162174,-73.8533286
Bottle Filler High Low,POINT (-73.91140937647091 40.76065784256724),Just Outside Playground,Astoria Heights Playground,4,Active,40.76065784,-73.91140938
A,POINT (-74.00241135763895 40.67120224825643),Out in Open,Red Hook Recreation Area,3,Active,40.67120225,-74.00241136
A,POINT (-73.96185231749905 40.706468664696345),"Under Tree, In Shade",Roebling Playground,3,Active,40.70646866,-73.96185232
D,POINT (-73.97294548681245 40.68064958766115),Out in Open,Dean Playground,3,Active,40.68064959,-73.97294549
E Wheelchair,POINT (-73.99179347378734 40.57151957267867),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57151957,-73.99179347
A,POINT (-74.14577996568651 40.624149981474794),Out in Open,Markham Playground,5,Active,40.62414998,-74.14577997
Other,POINT (-74.0156182786659 40.709314250239295),"In Shade, Near Ballfield, Just Outside Playground",Battery Park City Parks,1,Active,40.70931425,-74.01561828
D,POINT (-73.82558017125479 40.79626529261887),Under Tree,Francis Lewis Park,4,Active,40.79626529,-73.82558017
Other,POINT (-73.98170277366829 40.71403545942061),"In Playground, Near Ballfield",Henry M. Jackson Playground,1,Active,40.71403546,-73.98170277
A,POINT (-74.00378524205844 40.67336960181733),Out in Open,Red Hook Recreation Area,3,Active,40.6733696,-74.00378524
D,POINT (-73.825113494178 40.58485323143262),Just Outside Playground,Bayside Playground,4,Active,40.58485323,-73.82511349
A,POINT (-73.77327590647226 40.72921609308595),"Near Ballfield, Out in Open",Cunningham Park,4,Active,40.72921609,-73.77327591
E Wheelchair,POINT (-73.97377419138117 40.66801988916745),"Under Tree, In Shade, Out in Open",Prospect Park,3,Active,40.66801989,-73.97377419
A,POINT (-73.96807416671818 40.66854191109001),"In Shade, Under Tree",Prospect Park,3,Active,40.66854191,-73.96807417
A,POINT (-73.83927629197976 40.87346976772366),"Just Outside Playground, In Shade",Haffen Park,2,Active,40.87346977,-73.83927629
B,POINT (-73.94138451742538 40.84687685011491),Out in Open,J. Hood Wright Park,1,Active,40.84687685,-73.94138452
CS Metal,POINT (-73.85475746204509 40.90178955671083),"In Shade, In Playground",Wakefield Playground,2,Active,40.90178956,-73.85475746
E Wheelchair,POINT (-73.86042824013809 40.696595907976096),In Shade,Forest Park,4,Active,40.69659591,-73.86042824
A,POINT (-73.86878074882196 40.82780391649674),"Under Tree, Near Ballfield, In Playground",Watson Gleason Playground,2,Active,40.82780392,-73.86878075
A,POINT (-73.84205658971098 40.74031574562547),"Out in Open, Under Tree",Flushing Meadows Corona Park,4,Active,40.74031575,-73.84205659
C,POINT (-73.92930997199106 40.86492338545586),In Playground,Fort Tryon Park,1,Active,40.86492339,-73.92930997
E Wheelchair Child,POINT (-73.95058194141633 40.7852037723653),Near Ballfield,Samuel Seabury Playground,1,Active,40.78520377,-73.95058194
Bottle Filler,POINT (-73.94267931929032 40.803413905482),"Under Tree, Just Outside Playground, Near Ballfield",Marcus Garvey Park,1,Active,40.80341391,-73.94267932
D,POINT (-73.94465013714543 40.65895351929648),"Under Tree, In Shade",Wingate Park,3,Active,40.65895352,-73.94465014
A,POINT (-73.83718267826563 40.73351418691123),Out in Open,Flushing Meadows Corona Park,4,Active,40.73351419,-73.83718268
A,POINT (-74.08867621049912 40.57001052328563),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57001052,-74.08867621
F High Low,POINT (-73.90153151263341 40.815274201065286),In Playground,Playground 52 LII,2,Active,40.81527420000001,-73.90153151
E Wheelchair Dog,POINT (-73.9907861853952 40.735564468274866),Out in Open,Union Square Park,1,Active,40.73556447,-73.99078619
A,POINT (-73.74036945806093 40.697978915339306),Near Ballfield,East Springfield Playground,4,Active,40.69797892,-73.74036946
Trough,POINT (-73.82477244057281 40.851828669860204),Out in Open,Pelham Bay Park,2,Active,40.85182867,-73.82477244
C,POINT (-73.96398420401466 40.71546454022123),"Under Tree, In Playground, In Shade",William Sheridan Playground,3,Active,40.71546454,-73.96398420000001
CS Metal,POINT (-73.8505876941653 40.82352048650035),"In Playground, In Shade",P.O. Serrano Playground,2,Active,40.82352049,-73.85058769
A,POINT (-73.77342565328388 40.72979431004812),Out in Open,Cunningham Park,4,Active,40.72979431,-73.77342565
D,POINT (-73.90603416696848 40.82302876135205),"Out in Open, Near Ballfield",Dunbar Playground,2,Active,40.82302876,-73.90603417
C,POINT (-73.9822757014508 40.735504445499195),In Playground,Augustus St. Gaudens Playground,1,Active,40.73550445,-73.9822757
D,POINT (-73.90001393896193 40.620391062450175),"Out in Open, Near Ballfield",McGuire Fields,3,Active,40.62039106,-73.90001394
A,POINT (-73.94885832770343 40.815938431326266),"Near Ballfield, Just Outside Playground",St. Nicholas Park,1,Active,40.81593843,-73.94885833
F High Low,POINT (-73.94133759303922 40.69339478510108),"In Playground, Near Ballfield",Pulaski Playground,3,Active,40.69339479,-73.94133759
A,POINT (-73.8971797642765 40.74869013303024),Out in Open,Hart Playground,4,Active,40.74869013,-73.89717976
CS Metal,POINT (-73.83104981235994 40.83799059971903),"In Playground, Out in Open",Bufano Park,2,Active,40.83799060000001,-73.83104981
C,POINT (-73.76466380560088 40.6082743847252),In Playground,Westbourne Playground,4,Active,40.60827438,-73.76466381
A,POINT (-73.7695484645158 40.734615746510556),"Out in Open, Near Ballfield",Cunningham Park,4,Active,40.73461575,-73.76954846
C,POINT (-74.08611255351195 40.64342022496791),Near Ballfield,Mahoney Playground,5,Active,40.64342022,-74.08611255
A,POINT (-73.82173858918945 40.69428086976425),In Playground,"Phil ""Scooter"" Rizzuto Park",4,Active,40.69428087,-73.82173859
F,POINT (-74.00061989504239 40.755420670375706),Out in Open,Hudson Park,1,Active,40.75542067,-74.0006199
C,POINT (-73.88752204842783 40.85055906213384),,Belmont Playground,2,Active,40.85055906,-73.88752205
C,POINT (-74.00380691613242 40.67374754816737),In Playground,Red Hook Recreation Area,3,Active,40.67374755,-74.00380692
A,POINT (-73.95382103751582 40.72058892805114),"Near Ballfield, Out in Open",McCarren Park,3,Active,40.72058893,-73.95382104
A,POINT (-73.7927104203315 40.86803670045672),Out in Open,Pelham Bay Park,2,Active,40.86803670000001,-73.79271042
Other,POINT (-73.92756791613293 40.66641504288744),In Playground,Lincoln Terrace / Arthur S. Somers Park,3,Active,40.66641504,-73.92756792
Bottle Filler High Low,POINT (-73.78016825167533 40.595482041641425),Just Outside Playground,Conch Playground,4,Active,40.59548204,-73.78016825
D,POINT (-73.7618559419941 40.59264588860953),In Playground,Beach 30th Street Playground,4,Active,40.59264589,-73.76185594
C,POINT (-73.89100256038964 40.824018392986915),In Playground,Printers Park,2,Active,40.82401839,-73.89100256
C,POINT (-73.89494544291341 40.67865385066922),In Playground,George Walker Jr. Park,3,Active,40.67865385,-73.89494544
A,POINT (-73.96792571024771 40.65024347047511),"Out in Open, Near Ballfield",Parade Ground,3,Active,40.65024347,-73.96792571
A,POINT (-73.98417914610498 40.593845146043904),"In Playground, Out in Open",Scarangella Park,3,Active,40.59384515,-73.98417915
A,POINT (-73.82691338568743 40.72291470109342),In Playground,Flushing Meadows Corona Park,4,Active,40.7229147,-73.82691339
CS Concrete,POINT (-74.11942865033983 40.608731805891566),In Shade,Christopher J. Igneri Playground,5,Active,40.60873181,-74.11942865
C,POINT (-74.04057885719833 40.6218326623923),Under Tree,Shore Park and Parkway,3,Active,40.62183266,-74.04057886
E Wheelchair,POINT (-73.91982131617135 40.86917688488041),Out in Open,Isham Park,1,Active,40.86917688,-73.91982132
C,POINT (-73.97704623108176 40.719462956116274),"In Playground, Near Ballfield, Under Tree",Wald Playground,1,Active,40.71946296,-73.97704623
C,POINT (-73.99457717633796 40.71037539948269),"Under Tree, Near Ballfield",Tanahey Playground,1,Active,40.7103754,-73.99457718
A,POINT (-73.93653937731688 40.81925424016907),"Under Tree, In Shade, In Playground, Near Ballfield",Col. Young Playground,1,Active,40.81925424,-73.93653938
Trough,POINT (-74.18709433219445 40.58970481445976),Just Outside Playground,Schmul Park,5,Active,40.58970481,-74.18709433
A,POINT (-73.91730246202641 40.84371468520472),"Out in Open, In Playground",Goble Playground,2,Active,40.84371469,-73.91730246
A,POINT (-73.83664979325195 40.750381690171075),Out in Open,Flushing Meadows Corona Park,4,Active,40.75038169,-73.83664979
A,POINT (-73.9009038405064 40.880784905159345),"Under Tree, In Shade",Bailey Playground,2,Active,40.88078491,-73.90090384
D,POINT (-73.90135463630088 40.62041619978294),"Out in Open, Near Ballfield",McGuire Fields,3,Active,40.6204162,-73.90135464
B,POINT (-73.97295856464574 40.66704718206747),In Playground,Prospect Park,3,Active,40.66704718,-73.97295856
F High Low,POINT (-73.99298436609189 40.76124089063608),"In Shade, Under Tree, In Playground",Mathews-Palmer Playground,1,Active,40.76124089,-73.99298437
A,POINT (-73.87116570542081 40.67011439024752),"Near Ballfield, Out in Open",Cypress Hills Playground,3,Active,40.67011439,-73.87116571
E Wheelchair,POINT (-73.95608530945522 40.57540242355465),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57540242,-73.95608531
A,POINT (-73.79611141219668 40.7344379076574),In Playground,Fresh Meadows Playground,4,Active,40.73443791,-73.79611141
A,POINT (-73.97174516359375 40.689186846689964),In Playground,Edmonds Playground,3,Active,40.68918685,-73.97174516
D,POINT (-73.91567357898975 40.84863420588926),"Under Tree, In Playground",Galileo Playground,2,Active,40.84863421,-73.91567358
E Wheelchair,POINT (-73.96783983496881 40.77236306223453),Just Outside Playground,Central Park,1,Active,40.77236306,-73.96783983
E Wheelchair,POINT (-73.99843493235078 40.73118249016759),"Under Tree, Just Outside Playground",Washington Square Park,1,Active,40.73118249,-73.99843493
A,POINT (-73.84961008002799 40.741964008759055),"Just Outside Playground, Under Tree",Flushing Meadows Corona Park,4,Active,40.74196401,-73.84961008
D,POINT (-73.78353959863855 40.70199408132973),Just Outside Playground,Detective Keith L Williams Park,4,Active,40.70199408,-73.7835396
D,POINT (-73.84629977314462 40.72202320361116),Out in Open,MacDonald Park,4,Active,40.7220232,-73.84629977
C,POINT (-74.00548690286898 40.73634319421065),"In Shade, In Playground",Bleecker Playground,1,Active,40.73634319,-74.00548690000002
A,POINT (-73.93234539254998 40.70182241978246),"Out in Open, Near Ballfield",Green Central Knoll,3,Active,40.70182242,-73.93234539
E Wheelchair Child,POINT (-73.96090657381048 40.72181212438336),"Near Ballfield, Out in Open",Bushwick Inlet Park,3,Active,40.72181212,-73.96090657
A,POINT (-74.0792473779832 40.62326060289697),Near Ballfield,Stapleton Playground,5,Active,40.6232606,-74.07924738
A,POINT (-73.94941815069747 40.7027126044566),"Out in Open, In Playground",De Hostos Playground,3,Active,40.7027126,-73.94941815
A,POINT (-73.90783995910634 40.671709767326085),"Under Tree, In Playground",Howard Playground,3,Active,40.67170977,-73.90783996
C,POINT (-73.98254133510346 40.69764764335736),"In Shade, Out in Open",Golconda Playground,3,Active,40.69764764,-73.98254134
C,POINT (-73.81399620145342 40.73610902223823),In Playground,Pomonok Playground,4,Active,40.73610902,-73.8139962
CS Concrete,POINT (-73.96229734959523 40.81489100188371),In Playground,Riverside Park,1,Active,40.814891,-73.96229735
A,POINT (-73.93545261942468 40.797416154774766),"Under Tree, Near Ballfield, In Playground",P.S. 155 Playground,1,Active,40.79741615,-73.93545262
D,POINT (-73.72743864201317 40.684351739737274),Near Ballfield,Laurelton Parkway,4,Active,40.68435174,-73.72743864
C,POINT (-73.92045244963452 40.6754744006166),In Playground,South Pacific Playground,3,Active,40.6754744,-73.92045245
C,POINT (-73.93390177492485 40.67369139141933),Out in Open,St. John's Recreation Center,3,Active,40.67369139,-73.93390177
D,POINT (-73.77722014178701 40.73597370397585),In Playground,Farm Playground,4,Active,40.7359737,-73.77722014
A,POINT (-73.83947609626331 40.670101745182095),In Playground,Centreville Playground,4,Active,40.67010175,-73.8394761
A,POINT (-73.96419102431756 40.8115452602462),Out in Open,Riverside Park,1,Active,40.81154526,-73.96419102
E Wheelchair Child,POINT (-73.85267340668626 40.849284619788286),Under Tree,Loreto Playground,2,Active,40.84928462,-73.85267341
C,POINT (-74.03353254155222 40.640489114859015),Under Tree,Owl's Head Park,3,Active,40.64048911,-74.03353254
E Wheelchair,POINT (-73.9720333371546 40.80349195485592),"Under Tree, Near Ballfield",Riverside Park,1,Active,40.80349195,-73.97203334
Other,POINT (-74.01688316940334 40.71354568611738),Under Tree,Battery Park City,1,Active,40.71354569,-74.01688317
D,POINT (-73.92127412691778 40.81392246784709),"Out in Open, In Playground",Clark Playground,2,Active,40.81392247,-73.92127413
CS Concrete,POINT (-73.75824593749856 40.74628860607835),In Playground,Tall Oak Playground,4,Active,40.74628861,-73.75824594
D,POINT (-73.93872427398537 40.809472224756846),"Near Ballfield, Just Outside Playground",Moore Playground,1,Active,40.80947222,-73.93872427
E Wheelchair Dog,POINT (-73.79278861514314 40.78789172162484),Out in Open,Cross Island Parkway,4,Active,40.78789172,-73.79278862
C,POINT (-73.91184527407076 40.66848551483215),"Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground",Chester Playground,3,Active,40.66848551,-73.91184527
A,POINT (-73.89744379712903 40.86599771987361),Out in Open,St. James Park,2,Active,40.86599772,-73.89744379999998
C,POINT (-73.94431741288518 40.709008164085596),"Near Ballfield, Just Outside Playground",Martinez Playground,3,Active,40.70900816,-73.94431741
C,POINT (-73.76924299421088 40.77197519088216),Out in Open,Crocheron Park,4,Active,40.77197519,-73.76924299
C,POINT (-73.89483933457595 40.85617124050251),"Out in Open, In Playground",Thorpe Family Playground,2,Active,40.85617124,-73.89483933
D,POINT (-73.87222831186509 40.75455110114385),Out in Open,Junction Playground,4,Active,40.7545511,-73.87222831
F Dog,POINT (-73.98585537808114 40.67292927209004),Out in Open,Washington Park,3,Active,40.67292927,-73.98585538
A,POINT (-73.92488338310136 40.77605172876617),In Playground,Astoria Park,4,Active,40.77605173,-73.92488338
A,POINT (-73.88039775186759 40.719779311773166),Near Ballfield,Juniper Valley Park,4,Active,40.71977931,-73.88039775
A,POINT (-73.9220833739578 40.78024553700212),"Out in Open, Under Tree",Astoria Park,4,Active,40.78024554,-73.92208337
C,POINT (-73.73441556644416 40.73962300380486),Just Outside Playground,Alley Athletic Playground,4,Active,40.739623,-73.73441557
A,POINT (-73.8964185880162 40.69818174251049),Under Tree,Evergreen Park,4,Active,40.69818174,-73.89641859
A,POINT (-73.85440790566541 40.7012005589698),In Shade,Forest Park,4,Active,40.70120056,-73.85440791
